CPH,Champa Junction ,3 
NIA,Janjgir Naila ,4 
AKT,Akaltara ,4 
BSP,Bilaspur Junction ,8 
BYT,Bhatapara ,4 
TLD,Tilda ,3 
R,Raipur Junction ,7 
BPHB,Bhilai Power House ,3 
DURG,Durg Junction ,6 
RJN,Raj Nandgaon ,3 
DGG,Dongargarh ,4 
AGN,Amgaon ,3 
G,Gondia Junction ,7 
TRO,Tirora ,3 
TMR,Tumsar Road Junction ,5 
BRD,Bhandara Road ,3 
KP,Kamptee ,3 
AJNI,Ajni ,Nagpur) 
WR,Wardha Junction ,4 
PLO,Pulgaon Junction ,3 
DMN,Dhamangaon ,2 
CND,Chandur ,2 
BD,Badnera Junction ,Amravati) 
MZR,Murtizapur Junction ,4 
AK,Akola Junction ,7 
SEG,Shegaon ,2 
JM,Jalamb Junction ,3 
NN,Nandura ,2 
MKU,Malkapur ,2 
BSL,Bhusaval Junction ,8 
DXG,Dharangaon ,2 
DDE,Dondaicha ,2 
NWU,Navapur ,3 
VYA,Vyara ,2 
MID,Madhi ,3 
BIY,Bardoli ,1 
UDN,Udhna Junction ,Surat) 
MAN,Maninagar ,2 
PURI,Puri ,8 
SIL,Sakhi Gopal ,4 
KUR,Khurda Road Junction ,7 
KAPG,Kalupara Ghat ,3 
BALU,Balugaon ,4 
KIT,Khallikot ,3 
CAP,Chatrapur ,3 
BAM,Brahmapur ,4 
PSA,Palasa ,3 
CHE,Srikakulam Road ,4 
VZM,Vizianagaram Junction ,5 
VBL,Bobbili Junction ,2 
RGDA,Rayagada ,3 
KSNG,Kesinga ,1 
TIG,Titlagarh Junction ,3 
KBJ,Kantabanji ,2 
KRAR,Khariar Road ,2 
MSMD,Mahasamund ,2 
BBS,Bhubaneswar ,6 
DNKL,Dhenkanal ,2 
TLHR,Talcher ,3 
ANGL,Angul ,3 
BONA,Boinda ,2 
RAIR,Rairakhol ,2 
SBPD,Sambalpur Road ,3 
SBP,Sambalpur Junction ,3 
HKG,Hirakud ,3 
BRGA,Bargarh Road ,3 
BLGR,Bolangir ,3 
MTJ,Mathura Junction ,10 
MRT,Mathura Cantt. ,2 
HTC,Hathras City ,2 
HTJ,Hathras Road ,1 
KSJ,Kasganj Junction ,6 
UJH,Ujhani ,1 
BEM,Budaun ,2 
BRY,Bareilly MG ,2 
BC,Bareilly City ,3 
IZN,Izzatnagar ,3 
BPR,Bhojipura Junction ,3 
PBE,Pilibhit Junction ,4 
PP,Puranpur ,1 
MLN,Mailani Junction ,3 
GK,Gola Gokaranath ,3 
LMP,Lakhimpur ,1 
HA,Hargaon ,1 
STP,Sitapur ,3 
SD,Sidhauli ,1 
DAL,DaliGanj ,3 
LC,Lucknow City ,3 
ASH,Aishbagh ,5 
JP,Jaipur Junction ,6 
KKU,Kanakpura ,2 
JOB,Asalpur Jobner ,3 
FL,Phulera Junction ,5 
NRI,Naraina ,3 
TL,Tiloniya ,2 
KSG,Kishangarh ,3 
MD,Madar Junction ,2 
AII,Ajmer Junction ,5 
TK,Tumakuru ,Tumkur) 
TTR,Tiptur ,4 
ASK,Arsikere Junction ,3 
RRB,Birur Junction ,3 
DVG,Davangere ,2 
HRR,Harihar ,3 
RNR,Ranibennur ,3 
HVR,Haveri ,3 
UBL,Hubballi Junction ,Hubli) 
DWR,Dharwad ,4 
LD,Londa Junction ,3 
BGM,Belagavi ,Belgaum) 
KRD,Karad ,3 
SOH,Sirohi Road ,2 
SOD,Sojat Road ,2 
BER,Beawar ,2 
