BDM     ,    BADAMI           ,  http://indiarailinfo.com/arrivals/badami-bdm/3763
BDWS    ,    BADARWAS         ,  http://indiarailinfo.com/arrivals/badarwas-bdws/7728
SGBJ    ,    SURGAON BANJARI  ,  http://indiarailinfo.com/arrivals/surgaon-banjari-sgbj/2206
LMK     ,    LIMKHEDA         ,  http://indiarailinfo.com/arrivals/limkheda-lmk/2906
AIG     ,    ALGAWAN          ,  http://indiarailinfo.com/arrivals/algawan-aig/2720
JAIS    ,    JAIS             ,  http://indiarailinfo.com/arrivals/jais-jais/775
PUE     ,    PALARI           ,  http://indiarailinfo.com/arrivals/palari-pue/5148
KOK     ,    KORUKKUPET JN    ,  http://indiarailinfo.com/arrivals/korukkupet-good-kokg/8429
TMV     ,    TINDIVANAM       ,  http://indiarailinfo.com/arrivals/tindivanam-tmv/784
NPS     ,    NAPASAR          ,  http://indiarailinfo.com/arrivals/napasar-nps/1241
BZR     ,    BISRA            ,  http://indiarailinfo.com/arrivals/bisra-bzr/2051
SIP     ,    SURAIMANPUR      ,  http://indiarailinfo.com/arrivals/suraimanpur-sip/962
THA     ,    TEHTA            ,  http://indiarailinfo.com/arrivals/tehta-tha/4389
CUX     ,    CHAURA           ,  http://indiarailinfo.com/arrivals/chaura-cux/2808
DAA     ,    DATIA            ,  http://indiarailinfo.com/arrivals/datia-daa/737
KPKD    ,    KHAPRI KHEDA     ,  NULL
PCX     ,    PAGLA CHANDI     ,  http://indiarailinfo.com/arrivals/pagla-chandi-pcx/3252
BNS     ,    BANAS            ,  NULL
GUD     ,    GALUDIH          ,  http://indiarailinfo.com/arrivals/galudih-gud/2044
BRK     ,    BAHRAICH         ,  http://indiarailinfo.com/arrivals/bahraich-brk/1861
CKP     ,    CHAKRADHARPUR    ,  http://indiarailinfo.com/arrivals/chakradharpur-ckp/169
CDA     ,    CHUDA            ,  http://indiarailinfo.com/arrivals/chuda-cda/4238
KRMR    ,    KARIMNAGAR       ,  NULL
MRDL    ,    MERAMANDOLIL     ,  http://indiarailinfo.com/arrivals/meramandolil-mrdl/5820
APR     ,    ANUPPUR JN       ,  NULL
BIDR    ,    BIDAR            ,  http://indiarailinfo.com/arrivals/bidar-bidr/2282
VAPM    ,    VALAPATTANAM     ,  http://indiarailinfo.com/arrivals/valapattanam-vapm/2777
AGMN    ,    AGOMONI          ,  NULL
TPY     ,    TADAKALPUDI      ,  http://indiarailinfo.com/arrivals/tadakalpudi-tpy/2787
GRY     ,    GORAYA           ,  http://indiarailinfo.com/arrivals/goraya-gry/660
AGL     ,    AMARGOL          ,  http://indiarailinfo.com/arrivals/amargol-agl/5717
GZH     ,    GULZARBAGH       ,  http://indiarailinfo.com/arrivals/gulzarbagh-gzh/1592
AQG     ,    ASHAPURA GOMAT   ,  http://indiarailinfo.com/arrivals/ashapura-gomat-aqg/1262
HTZ     ,    HATHIDAH JN      ,  NULL
MTP     ,    METUPALAIYAM     ,  http://indiarailinfo.com/arrivals/mettupalayam-mtp/2647
GJ      ,    GANGAJHARI       ,  http://indiarailinfo.com/arrivals/gangajhari-gj/3637
HWT     ,    HANWANT          ,  http://indiarailinfo.com/arrivals/hanwant-hwt/3725
GIZ     ,    GIDAM            ,  http://indiarailinfo.com/arrivals/gidam-giz/2016
TDLE    ,    TILDANGA         ,  NULL
PBW     ,    PANTNAGAR        ,  http://indiarailinfo.com/arrivals/pantnagar-pbw/2260
PASA    ,    PARASHSHALA      ,  http://indiarailinfo.com/arrivals/parassala-pasa/1011
GPR     ,    GHORPURI         ,  http://indiarailinfo.com/arrivals/ghorpuri-west-gprw/9679
KPQ     ,    KANNAPURAM       ,  http://indiarailinfo.com/arrivals/kannapuram-kpq/1480
KMU     ,    KUMBAKONAM       ,  http://indiarailinfo.com/arrivals/kumbakonam-kmu/2163
KPLL    ,    KOTTA PNDLPALLI  ,  NULL
TPU     ,    TANAKPUR         ,  http://indiarailinfo.com/arrivals/tanakpur-tpu/2747
SMI     ,    SITAMARHI        ,  http://indiarailinfo.com/arrivals/sitamarhi-junction-smi/4588
RKD     ,    RUKADI           ,  http://indiarailinfo.com/arrivals/rukadi-rkd/2245
GYN     ,    GYANPUR ROAD     ,  http://indiarailinfo.com/arrivals/gyanpur-road-gyn/1447
ALY     ,    ALLAHABAD CITY   ,  http://indiarailinfo.com/arrivals/allahabad-city-aly/1445
GNG     ,    GAURIGANJ        ,  http://indiarailinfo.com/arrivals/gauriganj-gng/462
PLG     ,    PALGHAR          ,  http://indiarailinfo.com/arrivals/palghar-plg/965
NMH     ,    NIMACH           ,  http://indiarailinfo.com/arrivals/nimach-nmh/305
DWZ     ,    DANTEWARA        ,  http://indiarailinfo.com/arrivals/dantewara-dwz/2017
PUS     ,    PHUSRO           ,  http://indiarailinfo.com/arrivals/phusro-pus/1958
KAMG    ,    KAMAKHYAGURI     ,  http://indiarailinfo.com/arrivals/kamakhyaguri-kamg/2202
BRM     ,    BARABAMBO        ,  http://indiarailinfo.com/arrivals/barabambo-brm/3592
JTB     ,    JAGATBELA        ,  http://indiarailinfo.com/arrivals/jagatbela-jtb/2252
TDH     ,    TINDHARIA        ,  http://indiarailinfo.com/arrivals/tindharia-tdh/1605
BIJ     ,    BIRNAGAR         ,  http://indiarailinfo.com/arrivals/birnagar-bij/3244
DHG     ,    DHRANGDHRA       ,  http://indiarailinfo.com/arrivals/dhrangadhra-junction-dhg/365
BOKE    ,    BHOKE            ,  http://indiarailinfo.com/arrivals/bhoke-boke/4431
ANA     ,    ASLANA           ,  http://indiarailinfo.com/arrivals/aslana-ana/1320
BGVN    ,    BHIGWAN          ,  http://indiarailinfo.com/arrivals/bhigwan-bgvn/2074
BVC     ,    BHAVNAGAR TRMUS  ,  http://indiarailinfo.com/arrivals/bhavnagar-terminus-bvc/967
RAL     ,    REPALLE          ,  http://indiarailinfo.com/arrivals/repalle-ral/3517
MMKB    ,    MEKRA MEMERKHAB  ,  NULL
DRI     ,    DUMRI JUARA      ,  http://indiarailinfo.com/arrivals/dumri-juara-dri/4965
MCS     ,    MANCHESWAR       ,  http://indiarailinfo.com/arrivals/mancheswar-mcs/1231
BOW     ,    BORAWAR          ,  NULL
SGKM    ,    SRUNGAVRUKSHAM   ,  http://indiarailinfo.com/arrivals/srungavruksham-sgkm/3648
DMO     ,    DAMOH            ,  http://indiarailinfo.com/arrivals/damoh-dmo/1223
UDGR    ,    UDGIR            ,  http://indiarailinfo.com/arrivals/udgir-udgr/2279
KXA     ,    KUANRIYA         ,  http://indiarailinfo.com/arrivals/kuanriya-kxa/6111
SFC     ,    SAINTALA         ,  http://indiarailinfo.com/arrivals/saintala-sfc/1230
TRTR    ,    TRIUPUNITTURA    ,  NULL
GRMP    ,    GANGARAMPUR      ,  http://indiarailinfo.com/arrivals/gangarampur-grmp/1895
